dom_edific,nombre_est,nomb_abrev,telefono,comunas,barrio,longitude,latitude,,,,,,,,
Yerbal 2370,Jardín de Infantes Nucleado A (EPCjc 01/12º),JIN A (01),4612-0566,7,FLORES,-58.4626,-34.6276,,,,,,,,
Yerbal 2370,Esc. Primaria Común N° 01 Museo de Bellas Artes Gral. Urquiza,EPjc 01,4612-0566,7,FLORES,-58.4626,-34.6276,,,,,,,,
Caracas 10,Esc. Primaria Común N° 02 Florencio Varela,EPjc 02,4611-7452,7,FLORES,-58.4614,-34.6283,,,,,,,,
Caracas 10,Esc. Primaria p/Adultos Nº 02 Florencio Varela,EPA 02,4611-7452,7,FLORES,-58.4614,-34.6283,,,,,,,,
Avda. Callao 450,Esc. Normal Superior Nº 09 Domingo Faustino Sarmiento,ENS 09 D F Sarmiento,4374-2463/4372-2157,3,BALVANERA,-58.3925,-34.6038,,,,,,,,
Libertad 1257,Centro de Actividades Infantiles y Juveniles Club Centro,CAIyJ Centro,4372-2157,1,RETIRO,-58.3843,-34.5935,,,,,,,,
Avda. Córdoba 2016,Centro Educativo de Nivel Secundario N° 13,CENS 13,4373-0972,3,BALVANERA,-58.396,-34.5999,,,,,,,,
Avda. Córdoba 2016,Inst. de Educación Superior Nº 01 Dra. Alicia Moreau de Justo,IES 01 A M de Justo,4371-0097 4374-4068,3,BALVANERA,-58.396,-34.5999,,,,,,,,
Carlos Pellegrini 1515,Inst. de Enseñanza Superior en Lenguas Vivas Juan Ramon Fernandez,IES J R Fernández,4393-6898/7351/4132,1,RETIRO,-58.3814,-34.5909,,,,,,,,
Ayacucho 953,Esc. de Recuperación Nº 01,ER 01,4815-7684,2,RECOLETA,-58.3958,-34.598,,,,,,,,
Tucumán 2214,Centro de Formación Profesional N° 12 - Eva Perón - UTHGRA,CFP 12 UTHGRA,4951-0096,3,BALVANERA,-58.3988,-34.6023,,,,,,,,
Tte. Gral. Juan Domingo Perón 1435,Centro de Formación Profesional N° 22 - FOETRA,CFP 22 FOETRA,4375-5922/28 int 128 fax,1,SAN NICOLAS,-58.3869,-34.6064,,,,,,,,
Sarmiento 2058,Centro de Formación Profesional N° 28 - Ministro José María Freire (anexo) - SUTERH,CFP 28 (a),4953-8598,3,BALVANERA,-58.3959,-34.606,,,,,,,,
Avda. Rivadavia 1445,Centro de Formación Profesional N° 10 - Raul Scalabrini Ortiz (anexo) - SEC,CFP 10 SEC (a),4384-9206,1,SAN NICOLAS,-58.3869,-34.6087,,,,,,,,
Calle 12 s/n,Manzana 27, Bo YPF,Calle 12 (Retiro),PAEByT (Prog de Alfabetización, Educ Básica y Trabajo para Jóvenes y Adultos),-58.3849,-34.5787,HTAL. J.A.FERNANDEZ,107195,105605,,,,,
Fray Cayetano Rodríguez 95,Esc. Primaria Común Nº 19 Leandro Niceforo Alem,EPjc 19,4611-4442,7,FLORES,-58.463,-34.6278,,,,,,,,
Fray Cayetano Rodríguez 95,Centro Educativo de Nivel Secundario N° 76,CENS 76,,7,FLORES,-58.463,-34.6278,,,,,,,,
Gral. Venancio Flores 3869,Esc. Primaria Común Nº 23 Saturnino Segurola,EPjc 23,4671-3565,10,FLORESTA,-58.4819,-34.6324,,,,,,,,
Morón 3745,Jardín de Infantes Nucleado D (EPCjc 24/12º),JIN D (24),4672-2080,10,FLORESTA,-58.4827,-34.6266,,,,,,,,
Morón 3745,Esc. Primaria Común Nº 24 Padre Castañeda,EPjc 24,4672-2080 4629-8151,10,FLORESTA,-58.4827,-34.6266,,,,,,,,
Remedios de Escalada de San Martín 2986,Esc. Primaria Común Nº 25 Comisario Gral. Alfredo Daniel Zumda,EPjc 25,4583-4567,11,VILLA SANTA RITA,-58.4792,-34.6162,,,,,,,,
San Blas 2238,Jardín de Infantes Nucleado B (EPCjs 06/12º),JIN B (06),4581-8527,11,VILLA GRAL. MITRE,-58.4732,-34.6072,,,,,,,,
Dr. Juan Felipe Aranguren 2605,Jardín Maternal Nº 05/12º H° Dr. T. Alvarez,JM 05/12,4637-7195,7,FLORES,-58.4682,-34.6238,,,,,,,,
Condarco 290,Colegio Nº 09 Justo José de Urquiza,Col 09,4612-0327/7564 4611-0742,7,FLORES,-58.468,-34.6278,,,,,,,,
Pje. La Porteña 54,Esc. Técnica Nº 06 Fernando Fader,ET 06,4611-3760 4612-7414,7,FLORES,-58.4679,-34.6295,,,,,,,,
Bogotá 2759,Esc. de Educacion Media N° 01/12° Julio Cortazar,EEM 01/12,4611-4993,7,FLORES,-58.4693,-34.6267,,,,,,,,
Morón 2528,Centro de Formación Profesional N° 24 (sede),CFP 24 (s),4611-5374,7,FLORES,-58.4671,-34.6226,,,,,,,,
Fonrouge 711,Curso Vocacional de Folklore Nº 25,CV Folk 25,,9,LINIERS,-58.5075,-34.6458,,,,,,,,
Camarones 3559,Esc. de Educ. Espec. para la Form. Laboral Nº 16 Dra. Carolina Tobar García,EEE-p-FL 16,4568-1723,11,VILLA SANTA RITA,-58.4887,-34.6167,,,,,,,,
Gavilán 1464,Esc. de Recuperación Nº 12,ER 12,4581-4863,11,VILLA GRAL. MITRE,-58.468,-34.6135,,,,,,,,
San Nicolás 588,Centro Educativo de Nivel Primario N° 40 y 13,CENP 40-13,4672-2684,10,FLORESTA,-58.4809,-34.6266,,,,,,,,
San Nicolás 588,Centro Educativo Cursos Especiales - (SEAdAd),CECE SEAdAd,4672-2684,10,FLORESTA,-58.4809,-34.6266,,,,,,,,
San Nicolás 588,CENOF Centro San Nicolás,CENOF San Nicolás,4672-2684,10,FLORESTA,-58.4809,-34.6266,,,,,,,,
Pje. La Porteña 14,Centro de Formación Profesional N° 10 - Raul Scalabrini Ortiz (anexo) - SEC,CFP 10 SEC (a),4611-4213,7,FLORES,-58.4676,-34.6299,,,,,,,,
Bahía Blanca 363,Centro Educativo de Nivel Primario N° 42 - Parroquia La Candelaria,CENP 42,4672-7090,10,FLORESTA,-58.4819,-34.6297,,,,,,,,
Rafaela 5159,Jardín de Infantes Nucleado D (EPCjc 01/13º) [Sede],JIN D (01) (s),4684-1764,10,VILLA LURO,-58.4998,-34.6399,,,,,,,,
Rafaela 5159,Esc. Primaria Común N° 01 Prof. Jose Onaindia,EPjc 01,4683-3311,10,VILLA LURO,-58.4998,-34.6399,,,,,,,,
Chascomús 5598,Jardín de Infantes Nucleado B (EPCjc 02/13º),JIN B (02),4682-0024,9,MATADEROS,-58.4965,-34.654,,,,,,,,
Chascomús 5598,Esc. Primaria Común N° 02 Patria Grande,EPjc 02,4682-0024,9,MATADEROS,-58.4965,-34.654,,,,,,,,
Avda. Larrazábal 1556,Jardín de Infantes Nucleado B (EPCjc 03/13º),JIN B (03),4635-1190,9,MATADEROS,-58.4994,-34.6537,,,,,,,,
Avda. Larrazábal 1556,Esc. Primaria Común N° 03 Eduardo Ladislao Holmberg,EPjc 03,4635-1190,9,MATADEROS,-58.4994,-34.6537,,,,,,,,
Avda. Larrazábal 1556,Esc. de Música N° 06,EMus 06,4635-1190,9,MATADEROS,-58.4994,-34.6537,,,,,,,,
Manuel Artigas 5951,Jardín de Infantes Nucleado B (EPCjc 04/13º) [Sede],JIN B (04) (s),4683-8208,9,MATADEROS,-58.503,-34.6499,,,,,,,,
Manuel Artigas 5951,Esc. Primaria Común N° 04 República del Brasil,EPjc 04,4682-1678,9,MATADEROS,-58.503,-34.6499,,,,,,,,
Zinny 1641,Jardín de Infantes Nucleado C (EPCjs 05/13º),JIN C (05),4671-2347,9,PARQUE AVELLANEDA,-58.4716,-34.6523,,,,,,,,
Zinny 1641,Esc. Primaria Común N° 05 Roberto Billinghurst,EPjs 05,4671-2347,9,PARQUE AVELLANEDA,-58.4716,-34.6523,,,,,,,,
Zinny 1641,Esc. Primaria p/Adultos Nº 05 Roberto Billinghurst,EPA 05,4671-2347,9,PARQUE AVELLANEDA,-58.4716,-34.6523,,,,,,,,
Cnel. Ramón L. Falcón 4801,Jardín de Infantes Nucleado D (EPCjc 06/13º),JIN D (06),4683-3354 4684-1764,10,VILLA LURO,-58.495,-34.638,,,,,,,,
Cnel. Ramón L. Falcón 4801,Esc. Primaria Común N° 06 Carlos Guido y Spano,EPjc 06,4683-3354,10,VILLA LURO,-58.495,-34.638,,,,,,,,
Avda. Juan Bautista Alberdi 4755,Jardín de Infantes Nucleado D (EPCjs 07/13º),JIN D (07),4683-3331,10,VILLA LURO,-58.4931,-34.6436,,,,,,,,
Avda. Juan Bautista Alberdi 4755,Esc. Primaria Común N° 07 Recuerdos de Provincia,EPjs 07,4683-3331,10,VILLA LURO,-58.4931,-34.6436,,,,,,,,
Avda. Juan Bautista Alberdi 4755,CENOF Centro Alberdi,CENOF Alberdi,4683-3331,10,VILLA LURO,-58.4931,-34.6436,,,,,,,,
Saravia 2358,Jardín de Infantes Nucleado C (EPCjs 08/13º) [Sede],JIN C (08) (s),4683-0777,9,PARQUE AVELLANEDA,-58.4757,-34.6591,,,,,,,,
Saravia 2358,Esc. Primaria Común Nº 08 Reino de Thailandia,EPjs 08,4683-6366,9,PARQUE AVELLANEDA,-58.4757,-34.6591,,,,,,,,
Saravia 2358,CENOF Centro Homero,CENOF Homero,4683-6366,9,PARQUE AVELLANEDA,-58.4757,-34.6591,,,,,,,,
Miralla 2666,Esc. Primaria Común Nº 09 Homero Manzi,EPjs 09,4682-0899,8,VILLA LUGANO,-58.482,-34.6628,,,,,,,,
Lacarra 1135,Jardín de Infantes Integral Nº 03/13º Jardin del Parque,JII 03/13,4671-4775,9,PARQUE AVELLANEDA,-58.4758,-34.6448,,,,,,,,
Lacarra 1135,Esc. Primaria Común Nº 10 Antonio Zaccagnini,EPjc 10,4671-7008,9,PARQUE AVELLANEDA,-58.4758,-34.6448,,,,,,,,
Olíden 2851,Jardín de Infantes Común Nº 01/13º,JIC 01/13,4687-1133,8,VILLA LUGANO,-58.4896,-34.665,,,,,,,,
Homero 1157,Esc. Primaria Común Nº 20 Sargento Juan Bautista Cabral,EPjs 20,4683-3060,9,PARQUE AVELLANEDA,-58.4877,-34.649,,,,,,,,
Homero 1157,Esc. Primaria p/Adultos Nº 20 Sargento Juan Bautista Cabral,EPA 20,4683-3060,9,PARQUE AVELLANEDA,-58.4877,-34.649,,,,,,,,
José Enrique Rodó 4431,Jardín de Infantes Nucleado D (EPCjc 21/13º),JIN D (21),4671-5359,9,PARQUE AVELLANEDA,-58.4869,-34.6437,,,,,,,,
José Enrique Rodó 4431,Esc. Primaria Común Nº 21 Pedro Inchauspe,EPjc 21,4671-5359,9,PARQUE AVELLANEDA,-58.4869,-34.6437,,,,,,,,
Gualeguaychú 550,Jardín de Infantes Común Nº 03/18º,JIC 03/18,4674-1576,10,FLORESTA,-58.4866,-34.6296,,,,,,,,
Gualeguaychú 550,Esc. Primaria Común Nº 23 Republica de Portugal,EPjs 23,4671-5315,10,FLORESTA,-58.4866,-34.6296,,,,,,,,
Gualeguaychú 550,CENOF Centro Gualeguaychú,CENOF Gualeguaychú,4671-5315,10,FLORESTA,-58.4866,-34.6296,,,,,,,,
Gallardo 521,Jardín de Infantes Nucleado B (EPCjs 24/18º),JIN B (24),4641-2584,10,VERSALLES,-58.5245,-34.6327,,,,,,,,
Gallardo 521,Esc. Primaria Común Nº 24 Maipu,EPjc 24,4641-2584,10,VERSALLES,-58.5245,-34.6327,,,,,,,,
Bruselas 785,Esc. Primaria Común Nº 25 Estados Unidos de America,EPjs 25,4641-2722,10,VERSALLES,-58.5228,-34.6284,,,,,,,,
Morón 4460,Esc. de Educ. Espec. y Form. Laboral Nº 06 Clelia Amelia C. Sessa,EEEyFL 06,4671-9991/9934,10,VELEZ SARSFIELD,-58.492,-34.6299,,,,,,,,
Arregui 4430,Escuela Infantil N° 05/18° (sede),EI 05/18 (s),4566-9998,18,10,-58.5032,-34.6155,,,,,,,,
Gallardo 149,Colegio Nº 13 Cnel. Tomás Espora,Col 13,4641-2011/6074,9,LINIERS,-58.5237,-34.6377,,,,,,,,
Gallardo 149,Esc. de Educación Media N° 01/18° E.Reingreso,EEM 01/18 R,4641-2011/6074,9,LINIERS,-58.5237,-34.6377,,,,,,,,
Gallardo 149,Centro de Actividades Infantiles y Juveniles Club Liniers,CAIyJ Liniers,4641-2011,9,LINIERS,-58.5237,-34.6377,,,,,,,,
San Blas 5387,Esc. de Comercio Nº 30 Dr. Esteban Agustín Gascon,EC 30,4567-0219/3679,10,VILLA LURO,-58.5089,-34.6305,,,,,,,,
Avda. Alvarez Jonte 5075,Esc. de Comercio Nº 33 Maipú,EC 33,4566-6220/5080,10,MONTE CASTRO,-58.5086,-34.6214,,,,,,,,
Virgilio 1980,Esc. Técnica Nº 27 Hipolito Yrigoyen,ET 27,4567-2244/4341,10,MONTE CASTRO,-58.5178,-34.6213,,,,,,,,
Avda. Lope de Vega 2150,Esc. Técnica Nº 35 Ing. Eduardo Latzina,ET 35,4567-5838/1441,10,MONTE CASTRO,-58.5166,-34.6207,,,,,,,,
Alejandro Magariños Cervantes 5068,Esc. de Cerámica Fernando Arranz,ECer F Arranz,4567-3613/8211,10,VELEZ SARSFIELD,-58.5037,-34.6295,,,,,,,,
Alejandro Magariños Cervantes 5068,Esc. de Danzas Nº 02 Jorge Donn,EDan 02 J Donn,4567-3322/6561,10,VELEZ SARSFIELD,-58.5037,-34.6295,,,,,,,,
Chivilcoy 1820,Esc. de Educ. Espec. Nº 27 Dra. Lidia F. de Coriat,EEE 27,4568-5303,10,MONTE CASTRO,-58.4959,-34.6174,,,,,,,,
Chivilcoy 1820,Esc. de Educ. Espec. y Form. Laboral Nº 29 Dr. Osvaldo Magnasco,EEEyFL 29,4568-5303/5334,10,MONTE CASTRO,-58.4959,-34.6174,,,,,,,,
San Blas 4356,Esc. de Recuperación Nº 18,ER 18,4567-3044,10,FLORESTA,-58.4965,-34.6219,,,,,,,,
Cnel. Pedro Calderón de la Barca 1550,Jardín Maternal Nº 06/18º,JM 06/18,4639-3441,10,MONTE CASTRO,-58.5076,-34.6253,,,,,,,,
Miranda 4173,Centro Educativo de Nivel Secundario N° 73,CENS 73,4648-1632,10,MONTE CASTRO,-58.4974,-34.6168,,,,,,,,
Avda. Segurola 1949,Centro de Formación Profesional N° 04 - Hosp. de Rehabilitación M. Rocca,CFP 04 Rocca (a),4686-2196,10,MONTE CASTRO,-58.5017,-34.6183,,,,,,,,
Alagón 300,Jardín de Infantes Nucleado B Homero Manzi (EPCjs 01/19º),JIN B (01),4923-9002,4,NUEVA POMPEYA,-58.4211,-34.6435,,,,,,,,
Alagón 300,Esc. Primaria Común N° 01 María Silventi de Amato,EPjs 01,4923-9002,4,NUEVA POMPEYA,-58.4211,-34.6435,,,,,,,,
Tilcara 3365,Jardín de Infantes Nucleado A (EPCjs 02/19º),JIN A (02),4918-7654,4,NUEVA POMPEYA,-58.4204,-34.6547,,,,,,,,
Tilcara 3365,Esc. Primaria Común N° 02 Dr. Genaro Sisto,EPjs 02,4918-7654,4,NUEVA POMPEYA,-58.4204,-34.6547,,,,,,,,
Tilcara 2856,Esc. Primaria Común N° 03 Prof. Carlos Justo Florit,EPjc 03,4918-3640,4,NUEVA POMPEYA,-58.422,-34.6488,,,,,,,,
Avda. Riestra 1850,Esc. Primaria Común N° 04 Ricardo Güiraldes,EPjs 04,4918-8935,7,FLORES,-58.4359,-34.6469,,,,,,,,
Avda. Caseros 4050,Esc. Primaria Común N° 05 Provincia de Corrientes,EPjc 05,4925-1525,4,NUEVA POMPEYA,-58.4216,-34.64,,,,,,,,
Avda. Caseros 4050,Centro Educativo Complementario de Educación Plástica Nº 19,CEC Plástica 19,4925-1525,4,NUEVA POMPEYA,-58.4216,-34.64,,,,,,,,
Echauri 1576,Esc. Primaria Común N° 06 Dr. Adolfo Saldías,EPjc 06,4919-5295,4,NUEVA POMPEYA,-58.4174,-34.6574,,,,,,,,
Quilmes 473,Esc. Primaria Común N° 07 Aeronáutica Argentina,EPjc 07,4923-1183,4,NUEVA POMPEYA,-58.4176,-34.6449,,,,,,,,
Quilmes 473,Centro Educativo Complementario de Idiomas Extranjeros Nº 19,CECIE 19,4923-1183,4,NUEVA POMPEYA,-58.4176,-34.6449,,,,,,,,
Avda. Intendente Francisco Rabanal 2275,Jardín de Infantes Nucleado A (EPCjc 08/19º),JIN A (08),4918-4803,8,VILLA SOLDATI,-58.429,-34.6595,,,,,,,,
Avda. Intendente Francisco Rabanal 2275,Esc. Primaria Común Nº 08 Luis Federico Leloir,EPjc 08,4918-4803,8,VILLA SOLDATI,-58.429,-34.6595,,,,,,,,
Avda. Segurola 1949,Esc. de Educ. Esp. Hospital Rehabilitación Manuel Roca,EEEsp Hosp Rehab Roca,4630-4723/4724,10,MONTE CASTRO,-58.5017,-34.6183,,,,,,,,
Lavalle 1681,Esc. Técnica Nº 19 Alejandro Volta,ET 19,4371-5611/4192,1,SAN NICOLAS,-58.3908,-34.603,,,,,,,,
Esmeralda 285,Esc. de Danzas Aída Victoria Mastrazzi,EDan A V Mastrazzi,4326-5478/2942,1,SAN NICOLAS,-58.3779,-34.605,,,,,,,,
Paraguay 2567,Curso Vocacional de Folklore Nº 22,CV Folk 22,4326-5478,2,RECOLETA,-58.4043,-34.5972,,,,,,,,
Juncal 1258,Ciclo Básico de Formación Ocupacional N° 04,CBO 04,4812-3540,1,RETIRO,-58.3853,-34.5929,,,,,,,,
Juncal 1258,Instituto de Formación Técnica Superior Nº 14,IFTS 14,4812-3540,1,RETIRO,-58.3853,-34.5929,,,,,,,,
Juncal 3251,Esc. de Comercio Nº 26 Enrique de Vedia,EC 26,4807-2967/2966,14,PALERMO,-58.4104,-34.5853,,,,,,,,
Juncal 3251,Esc. Normal Superior en Lenguas Vivas Sofia Esther Broquen de Spangenberg,ENS S E B Spangenberg,4807-2966/58,14,PALERMO,-58.4104,-34.5853,,,,,,,,
Avda. Córdoba 1951,Esc. de Comercio Nº 10 Islas Malvinas,EC 10,4811-9615 4813-7703,2,RECOLETA,-58.3951,-34.5995,,,,,,,,
Avda. Córdoba 1951,Liceo Nº 04 Remedios de Escalada de San Martin,Lic 04,4811-9615 4813-7703,2,RECOLETA,-58.3951,-34.5995,,,,,,,,
Avda. Córdoba 1951,Esc. Normal Superior Nº 01 en Lenguas Vivas Presidente R. Saenz Peña,ENS 01 S Peña,4812-5602 4813-0534,2,RECOLETA,-58.3951,-34.5995,,,,,,,,
Avda. Callao 450,Liceo Nº 07 Domingo Faustino Sarmiento,Lic 07,4372-2157,3,BALVANERA,-58.3925,-34.6038,,,,,,,,
Avda. Rivadavia 1445,Instituto de Formación Técnica Superior Nº 08,IFTS 08,4384-9206,1,SAN NICOLAS,-58.3869,-34.6087,,,,,,,,
José Cubas 4440,Esc. Primaria Común N° 07 Gral. Máximo de Zamudio,EPjc 07,4501-4739,11,VILLA DEVOTO,-58.5193,-34.6005,,,,,,,,
Mercedes 4966,Jardín de Infantes Nucleado A (EPCjs 08/16º),JIN A (08),4501-4837,11,VILLA DEVOTO,-58.5192,-34.5934,,,,,,,,
Mercedes 4966,Esc. Primaria Común Nº 08 San Juan Bosco,EPjs 08,4501-4837,11,VILLA DEVOTO,-58.5192,-34.5934,,,,,,,,
Iberá 5734,Jardín de Infantes Nucleado C (EPCjc 09/16º),JIN C (09),4572-3558,12,VILLA URQUIZA,-58.4978,-34.5711,,,,,,,,
Iberá 5734,Esc. Primaria Común Nº 09 Irlanda,EPjc 09,4572-3558,12,VILLA URQUIZA,-58.4978,-34.5711,,,,,,,,
Pedro Morán 2899,Jardín de Infantes Nucleado B Juana Azurduy (EPCjc 11/16º),JIN B (11),4572-5388,15,AGRONOMIA,-58.4961,-34.5925,,,,,,,,
Pedro Morán 2899,Esc. Primaria Común Nº 11 Congreso de Tucumán,EPjc 11,4572-5388,15,AGRONOMIA,-58.4961,-34.5925,,,,,,,,
Avda. Crisólogo Larralde 5934,Jardín de Infantes Nucleado D (EPCjs 12/16º),JIN D (12),4572-8226,12,VILLA URQUIZA,-58.5028,-34.5667,,,,,,,,
Avda. Crisólogo Larralde 5934,Esc. Primaria Común Nº 12 Cardenal Pacelli,EPjs 12,4572-8226,12,VILLA URQUIZA,-58.5028,-34.5667,,,,,,,,
Gral. José Gervasio de Artigas 5645,Jardín de Infantes Nucleado D (EPCjs 13/16º),JIN D (13),4572-4992,12,VILLA PUEYRREDON,-58.5042,-34.5759,,,,,,,,
Gral. José Gervasio de Artigas 5645,Esc. Primaria Común Nº 13 Hilarion Maria Moreno,EPjs 13,4572-4992,12,VILLA PUEYRREDON,-58.5042,-34.5759,,,,,,,,
Juramento 5775,Jardín de Infantes Común Nº 04/16º Dr. Florencio Escardo,JIC 04/16,4521-2400,12,VILLA URQUIZA,-58.4896,-34.5819,,,,,,,,
Juramento 5775,Esc. Primaria Común Nº 14 Leopoldo Lugones,EPjs 14,4521-2574,12,VILLA URQUIZA,-58.4896,-34.5819,,,,,,,,
Obispo San Alberto 3370,Jardín de Infantes Nucleado A (EPCjs 15/16º) [Sede],JIN A (15) (s),4571-8554,11,VILLA DEVOTO,-58.5119,-34.5861,,,,,,,,
Obispo San Alberto 3370,Esc. Primaria Común Nº 15 República Bolivariana de Venezuela,EPjs 15,4571-4058,11,VILLA DEVOTO,-58.5119,-34.5861,,,,,,,,
Gabriela Mistral 3376,Jardín de Infantes Nucleado B Juana Azurduy (EPCjc 16/16º),JIN B (16),4572-2000,11,VILLA DEVOTO,-58.5075,-34.591,,,,,,,,
Gabriela Mistral 3376,Esc. Primaria Común Nº 16 Ricardo Rojas,EPjc 16,4572-2000,11,VILLA DEVOTO,-58.5075,-34.591,,,,,,,,
Vallejos 2555,Jardín de Infantes Nucleado C (EPCjs 17/16º) [Sede],JIN C (17) (s),4571-2528,12,VILLA PUEYRREDON,-58.4969,-34.5852,,,,,,,,
Vallejos 2555,Esc. Primaria Común Nº 17 Gregoria Matorras y del Ser de San Martin,EPjc 17,4571-2528,12,VILLA PUEYRREDON,-58.4969,-34.5852,,,,,,,,
Medeyros 3555,Jardín de Infantes Nucleado D (EPCjc 18/16º),JIN D (18),4572-4049,12,VILLA URQUIZA,-58.5067,-34.5693,,,,,,,,
Medeyros 3555,Esc. Primaria Común Nº 18 Helena Larroque de Roffo,EPjc 18,4572-4049,12,VILLA URQUIZA,-58.5067,-34.5693,,,,,,,,
Gavilán 4246,Esc. Primaria Común Nº 19 Dr. Teodoro Sanchez de Bustamante,EPjc 19,4571-4855,12,VILLA PUEYRREDON,-58.4913,-34.5848,,,,,,,,
Bazurco 2551,Jardín de Infantes Nucleado D (EPCjs 22/16º) [Sede],JIN D (22) (s),4571-9381,12,VILLA PUEYRREDON,-58.5034,-34.5782,,,,,,,,
Bazurco 2551,Esc. Primaria Común Nº 22 República de Nicaragua,EPjs 22,4572-2274,12,VILLA PUEYRREDON,-58.5034,-34.5782,,,,,,,,
Franco 2390,Jardín de Infantes Nucleado A (EPCjc 23/16º),JIN A (23),4572-2426,12,VILLA PUEYRREDON,-58.5007,-34.578,,,,,,,,
Franco 2390,Esc. Primaria Común Nº 23 Belisario Roldan,EPjc 23,4572-2425,12,VILLA PUEYRREDON,-58.5007,-34.578,,,,,,,,
Avda. Nazca 5168,Jardín de Infantes Nucleado A (EPCjs 24/16º),JIN A (24),4571-7335,12,VILLA PUEYRREDON,-58.5057,-34.5827,,,,,,,,
Avda. Nazca 5168,Esc. Primaria Común Nº 24 Ejército Argentino,EPjs 24,4571-7335,12,VILLA PUEYRREDON,-58.5057,-34.5827,,,,,,,,
Cuenca 5049,Jardín de Infantes Integral Nº 01/16º Prof. Luis Sixto Clara,JII 01/16,4571-6014,12,VILLA PUEYRREDON,-58.5087,-34.5857,,,,,,,,
Argerich 5651,Esc. de Educacion Media N° 01/16° Rodolfo Walsh,EEM 01/16,4572-0714,12,VILLA PUEYRREDON,-58.5102,-34.5795,,,,,,,,
Obispo San Alberto 2379,Esc. de Educ. Espec. y Form. Laboral Nº 21 Rosario Vera Peñaloza,EEEyFL 21,4572-3437,12,VILLA PUEYRREDON,-58.5001,-34.5785,,,,,,,,
Avda. Lincoln 4325,Esc. de Educ. Espec. y Form. Laboral  Nº 28 Prof. Bartolomé Ayrolo,EEEyFL 28,4501-9217/9168 4502-5979,11,VILLA DEVOTO,-58.5156,-34.5989,,,,,,,,
Avda. Gral. Mosconi 2641,Esc. de Recuperación Nº 16 Gral. Ing. Mosconi,ER 16,4571-3570,12,VILLA PUEYRREDON,-58.4996,-34.5844,,,,,,,,
Avda. Asamblea 1221,Jardín de Infantes Común Nº 05/08º Martha A. Salotti,JIC 05/08,4924-2661,7,PARQUE CHACABUCO,-58.4421,-34.6357,,,,,,,,
Avda. Asamblea 1221,Esc. Primaria Común N° 07 Niñas de Ayohuma,EPjs 07,4923-0115,7,PARQUE CHACABUCO,-58.4421,-34.6357,,,,,,,,
Avda. José María Moreno 480,Jardín de Infantes Nucleado B (EPCjs 08/08º),JIN B (08),4922-9831,6,CABALLITO,-58.4343,-34.624,,,,,,,,
Avda. José María Moreno 480,Esc. Primaria Común Nº 08 Antonio Schettino,EPjs 08,4922-9831,6,CABALLITO,-58.4343,-34.624,,,,,,,,
Avda. José María Moreno 480,Esc. Primaria p/Adultos Nº 08 Antonio Schettino,EPA 08,4922-9831,6,CABALLITO,-58.4343,-34.624,,,,,,,,
Avda. La Plata 623,Jardín de Infantes Nucleado A (EPCjc 09/08º),JIN A (09),4922-3248,6,CABALLITO,-58.4279,-34.6226,,,,,,,,
Avda. La Plata 623,Esc. Primaria Común Nº 09 Florentino Ameghino,EPjc 09,4922-3248,6,CABALLITO,-58.4279,-34.6226,,,,,,,,
Avda. La Plata 623,Centro Educativo de Nivel Secundario N° 52,CENS 52,4922-3248,6,CABALLITO,-58.4279,-34.6226,,,,,,,,
Cachimayo 1657,Esc. Primaria Común Nº 10 Juan Agustin Maza,EPjs 10,4921-5445,7,PARQUE CHACABUCO,-58.4362,-34.6383,,,,,,,,
Avda. Juan Bautista Alberdi 163,Jardín de Infantes Nucleado A (EPCjc 11/08º) [Sede],JIN A (11) (s),4903-1038,6,CABALLITO,-58.4302,-34.6223,,,,,,,,
Avda. Juan Bautista Alberdi 163,Esc. Primaria Común Nº 11 Presidente Marcelo T. de Alvear,EPjc 11,4901-6444,6,CABALLITO,-58.4302,-34.6223,,,,,,,,
Avda. Juan Bautista Alberdi 163,Instituto de Formación Técnica Superior Nº 13,IFTS 13,4901-6444,6,CABALLITO,-58.4302,-34.6223,,,,,,,,
Avda. Pedro Goyena 984,Jardín de Infantes Nucleado E El Tranvia de Caballito (EPCjs 14/08º),JIN E (14),4431-1110,6,CABALLITO,-58.4412,-34.6267,,,,,,,,
Avda. Pedro Goyena 984,Esc. Primaria Común Nº 14 Joaquin Victor Gonzalez,EPjs 14,4431-1110,6,CABALLITO,-58.4412,-34.6267,,,,,,,,
Avda. Pedro Goyena 984,Esc. Primaria p/Adultos Nº 14 Joaquin Victor Gonzalez,EPA 14,4431-1110,6,CABALLITO,-58.4412,-34.6267,,,,,,,,
Saraza 1353,Jardín de Infantes Común Nº 03/08º,JIC 03/08,4925-0100,7,PARQUE CHACABUCO,-58.4368,-34.6389,,,,,,,,
Saraza 1353,Esc. Primaria Común Nº 15 Provincia de Salta,EPjc 15,4924-5016,7,PARQUE CHACABUCO,-58.4368,-34.6389,,,,,,,,
Don Bosco 4200,Jardín de Infantes Nucleado A (EPCjs 16/08º),JIN A (16),4981-6615,5,ALMAGRO,-58.4246,-34.614,,,,,,,,
Don Bosco 4200,Esc. Primaria Común Nº 16 Jose Maria Ramos Mejia,EPjc 16,4981-6615,5,ALMAGRO,-58.4246,-34.614,,,,,,,,
Terrada 5850,Centro de Alfabetización, Educación Básica y Trabajo N° 72 CeSAC 02,CAEByT 72,Dir de Educación del Adulto y del Adolescente,16,-58.5095,-34.5765,,,,,,,,
